"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-num-turtles-4world-size-iterate"
"10/08/2022 01:51:21:511 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"64","1","75","deterministic","poisson","25","3.5","1716","189","4.5954745024031745","42.38865595414357"
"73","1","78","deterministic","poisson","10","3.5","143","33","1.8716867301020743","45.59894133864207"
"71","1","77","deterministic","poisson","20","3.5","930","179","4.210683731202348","36.15753630785313"
"68","1","76","deterministic","poisson","25","3.5","1351","199","3.519143164729295","72.9703664247196"
"74","1","78","deterministic","poisson","15","3.5","423","72","1.8533066071026623","21.45223651097796"
"77","1","79","deterministic","poisson","10","3.5","131","25","1.036819940663729","25.342400565671134"
"72","1","77","deterministic","poisson","25","3.5","1177","231","4.456400349819495","74.70699196099568"
"78","1","79","deterministic","poisson","15","3.5","408","99","3.047609467719534","29.99429476134948"
"75","1","78","deterministic","poisson","20","3.5","955","149","3.4313177380031554","29.164219018112945"
"81","1","80","deterministic","poisson","10","3.5","169","37","1.1081170404826945","17.237357229721976"
"82","1","80","deterministic","poisson","15","3.5","347","61","2.13749320033752","29.296496813449604"
"79","1","79","deterministic","poisson","20","3.5","915","151","3.6154068907662396","77.72402898433486"
"76","1","78","deterministic","poisson","25","3.5","1527","140","2.7949833072290815","38.74171542939135"
"85","1","81","deterministic","poisson","10","3.5","143","30","1.467938147662708","26.65156114263502"
"83","1","80","deterministic","poisson","20","3.5","799","120","2.3620567793081335","54.427710784129864"
"86","1","81","deterministic","poisson","15","3.5","433","51","2.3398047239625246","35.021414982608746"
"80","1","79","deterministic","poisson","25","3.5","1510","229","4.560069571428038","39.05813144129472"
"89","1","82","deterministic","poisson","10","3.5","170","42","1.418181110617315","37.17738032676129"
"84","1","80","deterministic","poisson","25","3.5","1146","282","4.209656426988666","58.7661894093259"
"90","1","82","deterministic","poisson","15","3.5","428","91","2.73170504122717","31.129076147852487"
"87","1","81","deterministic","poisson","20","3.5","860","147","3.3617388645031987","18.75462487441886"
"93","1","83","deterministic","poisson","10","3.5","161","32","1.6074354319662643","35.342773333032795"
"94","1","83","deterministic","poisson","15","3.5","377","92","2.8096178608844857","73.32673775077804"
"91","1","82","deterministic","poisson","20","3.5","824","132","2.4683992323257495","73.44551436068731"
"92","1","82","deterministic","poisson","25","3.5","891","184","3.4952898021087737","58.047934715673"
"97","1","84","deterministic","poisson","10","3.5","180","40","1.691250637934286","17.600859239279718"
"95","1","83","deterministic","poisson","20","3.5","736","88","3.1115603008219157","38.90246128812299"
"88","1","81","deterministic","poisson","25","3.5","1466","147","3.2717383342178348","44.27324533897138"
"98","1","84","deterministic","poisson","15","3.5","434","53","1.8243166611110206","22.491005375888193"
"101","1","85","deterministic","poisson","10","3.5","174","37","1.7516730168253236","18.315192961743676"
"99","1","84","deterministic","poisson","20","3.5","729","176","3.5478341229189994","91.8742145957771"
"102","1","85","deterministic","poisson","15","3.5","384","101","2.941372129271728","23.563494843457157"
"103","1","85","deterministic","poisson","20","3.5","687","165","3.9016602212277594","45.899148255094104"
"105","1","86","deterministic","poisson","10","3.5","126","37","1.474751335422079","23.17531047926785"
