"BehaviorSpace results (NetLogo 6.2.2)"
"lab1.nlogo"
"experiment-world-size-4step-size-iterate"
"10/08/2022 01:58:26:972 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"69","1.3","70","deterministic","poisson","13","3.5","289","29","1.7132261695746704","45.29673145323394"
"70","1.3","70","deterministic","poisson","14","3.5","337","56","3.1978269668470896","29.586408091749643"
"71","1.3","70","deterministic","poisson","15","3.5","241","40","2.432801283405052","56.85413971564378"
"72","1.3","70","deterministic","poisson","16","3.5","343","65","2.9929896664216207","35.984929195976534"
"73","1.3","70","deterministic","poisson","17","3.5","393","78","3.4933722769694704","47.83962421456604"
"62","1.2","70","deterministic","poisson","27","3.5","1311","128","3.8426126231760804","59.853220452975"
"75","1.3","70","deterministic","poisson","19","3.5","400","59","2.3838917325865117","60.243766317173126"
"74","1.3","70","deterministic","poisson","18","3.5","464","50","1.6739163588742842","29.54991521510419"
"63","1.2","70","deterministic","poisson","28","3.5","1298","148","4.3725218055954915","45.4003042362068"
"77","1.3","70","deterministic","poisson","21","3.5","549","73","3.5329957587456526","48.32657326972932"
"76","1.3","70","deterministic","poisson","20","3.5","672","88","3.045095687780968","37.75522691801102"
"78","1.3","70","deterministic","poisson","22","3.5","717","122","4.520340754525259","29.278695769270602"
"79","1.3","70","deterministic","poisson","23","3.5","888","142","4.047065916200079","42.63510244028646"
"80","1.3","70","deterministic","poisson","24","3.5","930","122","3.907208750888376","80.58825513294366"
"81","1.3","70","deterministic","poisson","25","3.5","1038","117","4.4006828361908354","86.7459429239169"
"82","1.3","70","deterministic","poisson","26","3.5","1005","153","5.527720692567446","64.71068155471549"
"83","1.3","70","deterministic","poisson","27","3.5","1215","128","3.5374392120229476","25.433588646846808"
"84","1.3","70","deterministic","poisson","28","3.5","1191","198","5.093862244697689","105.23871363005844"
