"[run number]","step-size","num-turtles","rw-type","distribution-type","world-size","alpha","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"145","1","96","levy","poisson","10","3.5","96","8","0.6615149135776233","21.767088279531237"
"146","1","96","levy","poisson","15","3.5","185","39","0.7383173461996817","58.0233615392235"
"140","1","94","levy","poisson","25","3.5","810","45","1.7724433951551468","49.61300365591529"
"149","1","97","levy","poisson","10","3.5","103","6","0.7289929863112454","15.29843674875352"
"144","1","95","levy","poisson","25","3.5","592","47","2.20198864071274","37.951878067966554"
"150","1","97","levy","poisson","15","3.5","178","24","1.5891881447301683","33.40699779618969"
"147","1","96","levy","poisson","20","3.5","386","49","2.8046723799067816","74.86491331767763"
"153","1","98","levy","poisson","10","3.5","79","12","1.0344420941898491","15.081383876844237"
"154","1","98","levy","poisson","15","3.5","201","32","1.4640004132069304","59.71850850456992"
"151","1","97","levy","poisson","20","3.5","454","44","1.271990799166372","54.454720357190574"
"148","1","96","levy","poisson","25","3.5","626","61","1.5862921018852667","65.03776811118081"
"157","1","99","levy","poisson","10","3.5","88","10","1.0122237540747663","26.54044721420513"
"158","1","99","levy","poisson","15","3.5","225","10","1.0227730350429467","16.737920801414848"
"152","1","97","levy","poisson","25","3.5","621","75","2.797510227307356","71.63275464951532"
"155","1","98","levy","poisson","20","3.5","341","54","2.618927504277524","78.0807310015785"
"161","1","100","levy","poisson","10","3.5","74","10","0.6810895735912164","13.651458354516643"
"159","1","99","levy","poisson","20","3.5","352","46","1.8158293940632593","31.88562298872529"
"162","1","100","levy","poisson","15","3.5","189","34","1.4975170080985256","53.34510207071032"
"160","1","99","levy","poisson","25","3.5","484","78","2.53990530652783","101.26270666907959"
"156","1","98","levy","poisson","25","3.5","679","56","2.1031513396742874","92.9667068072265"
"163","1","100","levy","poisson","20","3.5","404","45","2.547046478417089","62.27240210784429"
"164","1","100","levy","poisson","25","3.5","756","81","1.8388134449295261","101.36471381781705"
