"[run number]","step-size","num-turtles","rw-type","world-size","[step]","reach-time","max max-diff-before-reach","mean displacement-before-reach"
"113","1","88","conLdiscD","10","298","92","4.952925131068992","11.368840373996122"
"114","1","88","conLdiscD","15","842","191","7.1439140925116424","26.032994284178333"
"111","1","87","conLdiscD","20","1279","289","8.710830946838186","43.113210062904834"
"115","1","88","conLdiscD","20","1622","279","7.8114001609086525","47.94823022152889"
"117","1","89","conLdiscD","10","313","78","4.218851421230963","18.14333712214328"
"108","1","86","conLdiscD","25","2914","721","14.38071547964887","76.45718237563469"
"118","1","89","conLdiscD","15","717","137","5.638790140167355","31.020703391606368"
"112","1","87","conLdiscD","25","2519","447","10.311150061289197","90.84816211998712"
"121","1","90","conLdiscD","10","307","82","4.479915933244235","21.961416881785425"
"119","1","89","conLdiscD","20","1396","297","8.458919896900667","48.37565528530299"
"122","1","90","conLdiscD","15","867","151","5.96575679591057","63.03724133603193"
"123","1","90","conLdiscD","20","1315","287","8.58021171145852","63.86803621814834"
"125","1","91","conLdiscD","10","319","96","4.97960724003622","47.67475112102338"
"126","1","91","conLdiscD","15","817","159","5.883095498042992","72.28926358395935"
"120","1","89","conLdiscD","25","2352","430","10.900282160313047","56.24363412587525"
"116","1","88","conLdiscD","25","3571","364","8.760130289771471","73.85943541037751"
"129","1","92","conLdiscD","10","253","69","4.137440454883416","20.525674085976117"
"127","1","91","conLdiscD","20","1452","260","7.639893111253623","85.82779122404206"
"130","1","92","conLdiscD","15","761","160","6.4828909177117024","35.646328846409965"
"124","1","90","conLdiscD","25","2699","586","11.833115447881134","91.74045389035093"
"133","1","93","conLdiscD","10","405","71","3.9244608990145666","46.56238771595168"
"131","1","92","conLdiscD","20","1322","313","8.315480357393135","67.94898379591348"
"134","1","93","conLdiscD","15","790","189","7.061381360374623","19.597834665162683"
"128","1","91","conLdiscD","25","2568","309","8.43474778712879","91.64815694074615"
"137","1","94","conLdiscD","10","331","42","2.9297100232890947","22.23427638013144"
"138","1","94","conLdiscD","15","798","168","5.791910794925422","43.71368449372001"
"132","1","92","conLdiscD","25","2484","385","9.153626702964027","39.79426753357476"
"135","1","93","conLdiscD","20","2147","290","8.483744273514768","84.63168239966589"
"141","1","95","conLdiscD","10","273","68","3.938853600714604","50.473724386132176"
"136","1","93","conLdiscD","25","2291","425","9.67924812208004","75.8817943305665"
"139","1","94","conLdiscD","20","1361","302","9.294471407838184","56.88522669494561"
"142","1","95","conLdiscD","15","667","115","4.8494224319079215","26.418938989519326"
"145","1","96","conLdiscD","10","284","64","3.663299937069943","27.758505204505976"
"146","1","96","conLdiscD","15","912","153","5.87757536488234","41.82346638385847"
